,Recipe,Location,Item,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4
137,God's Hammer,Heart's Prison,Thor Hammer,Grand Sledgehammer,Uni God,Gold Bullion/Altena Ingot,Raw Komet Ore/Super Komet/King Tuna/Queen Tuna/Fish Boat: Marlow
138,Stuffed Animal,Resource Center Dungeon,Doll's Claw,Nicro Cloth/Pleather Cloth,Tuft/Knot/Shiny Moustache,Beast Fang/Super Alloy Claw,
139,Stuffed Animal,Resource Center Dungeon,Plastic Claw,Carbon Boulder/Rocks rock!,Puniball/Puni Gummi,Taun,Puppy Paw Gloves/Puppy Paw Flan/Doll's Claw
140,Metallic Claw,Student Store (Chapter 6),Steel Claw,Legien Steel/Cyprus Copper,Black Steel,Gloves of Artorius/Thorn Gauntlet,
141,Metallic Claw,Student Store (Chapter 6),Alloy Claw,Preuve Lead,Red Steel,Steel Claw,Scale Gauntlet/Philosopher's Hand
142,Metallic Claw,Student Store (Chapter 6),Super Allow Claw,White Steel,Blue Steel,Alloy Claw,Megingjorz
143,Beast's Claw,"Millenium Tree, or Student Store (Chapter 8)",Bear Claw,Steel Claw,Le Merou Cog/Gear/Grand Gear/Little Gear/Eternal Turnkey,Gearbox/Metronome,
144,Beast's Claw,"Millenium Tree, or Student Store (Chapter 8)",Electric Claw,Super Alloy Claw,Altena Ingot,Thunder Rod/Voidspark Pipe,Gearbox/Metronome/Organne la Firste
145,Claw Super Weapon,Heart's Prison,Hellclaw,Plastic Claw,Archangel Wing,Gold Bullion,Armored Crab
146,Favorite Sword,Student Store (Chapter 5),Dimentia Blade,Legien Steel/Cyprus Copper/Preuve Lead/Elemia Silver/Azoth Z,Black Steel/Red Steel,Orange Bomb/Lando Bomb/Plosion/Flame/Tera Flame,Black Powder/Polish Powder/Shiny Powder
147,Favorite Sword,Student Store (Chapter 5),Muramasa,Dimentia Blade,Elemia Silver/Pendelook,Plosion/Flame/Tera Flame,Pumpotatokin/Medicinal Radish/Shinke Onion
148,Foreign Blade,"Wind's Corridor - Abyss, or Campus Grounds (Chapter 8)",Blue Dragon,Dragon Bone/Dragon Scale/Dragon Tongue/Carabine Harp,Carbon Boulder/Raw Komet Ore/Super Komet,Plosion/Black Powder,Thorn Gauntlet/Scale Gauntlet
149,Foreign Blade,"Wind's Corridor - Abyss, or Campus Grounds (Chapter 8)",Ben Breaker,Blue Dragon,Pentagle,Plosion/Black Powder,Glasses of Death
150,Alchemic Sword,"Complete Job no. 056, or Student Store (Chapter 10)",Azoth Z,Jade Tablet,Aroma Material,Dragon Tongue,Dunkelhite
151,A Master's Swing,Heart's Prison,Pellucian,Muramasa,Altena Ingot,Liquid Metal/Blood Clay,Bobomb Ice/Coolster/Grape Sherbet/Muscat Sorbet
152,Sphere Spaceship,"Mana Ruins - Interior Heights, or Resource Center Dungeon/Vendor (Chapter 7)",Commercial Pot,Carbon Boulder/Magical Clay/Blood Clay,Liquid Metal/Preservative/Nectar/Super Nectar,Nicro Cloth/Pleater Cloth/Silky Cloth/Formell Fabric,Gear/Grand Gear/Little Gear/Gearbox/Metronome/Pot Station
153,Sphere Spaceship,"Mana Ruins - Interior Heights, or Resource Center Dungeon/Vendor (Chapter 7)",Proto Pot,Red Steel/Magical Clay/Blood Clay,Liquid Metal/Preservative/Nectar/Super Nectar,Canone Crystal/Glacier Crystal/Thunder Crystal,Gear/Grand Gear/Little Gear/Gearbox/Metronome/Pot Station
154,Neo Spaceship,Resource Center Dungeon/Vendor (Chapter 7),Mark II,Liquid Metal,Pendelook,Lightning Rod/Thunder Rod/Voidspark Pipe,Magical Clay/Blood Clay/Commercial Pot/Proto Pot
155,Object from Space,Dragon's Grave - Cave of Origin,Pot Station,Commercial Pot,Proto Pot,White Steel/Altena Ingot,Gearbox/Metronome/Organne la Firste
156,Royal Spaceship,Heart's Prison,Crown Pot,Mark II,Gold Bullion,Holy Crest Paper,King Style/Star Queen/Crown Breastplate/King Tuna/Queen Tuna
157,Light Armor,Student Store (Chapter 3),Leather Cuirass,Pleather Cloth,Male Uniform/Altered Uniform M/Female Uniform/Altered Uniform F,Legien Steel/Cyprus Copper,
158,Platemail,Student Store (Chapter 5),Iron Plate,Black Steel,Leather Cuirass,Flour/Salt/Black Powder/Polish Powder,
159,Platemail,Student Store (Chapter 5),Bronze Plate,Red Steel,Leather Cuirass/Iron Plate,Flour/Salt/Black Powder/Polish Powder,
160,Platemail,Student Store (Chapter 5),Baked Plate,Monster Cookie/Sweetsland,Flour/Salt,Goat Milk/Vanilla Syrup/120% Fruit/Veggielicious/Veggie Purple,Taiyaki/Rocks rock!/Meringue Whip
161,Platemail,Student Store (Chapter 5),Armored Crab,King Crab,Iron Plate/Bronze Plate/Baked Plate,Raw Komet Ore/Super Komet/Gravity Stone/Elemia Silver/Pendelook,
162,Royal Metal Armor,"Clocktower, or Campus Grounds (Chapter 10)",Silver Cuirass,White Steel/Liquid Metal,Iron Plate/Bronze Plate/Baked Plate/Armored Crab/Kaiserfish Mail,Apollo's Diapason/Fortune Ring/Alchemic Cymbal/Divine Shield,
163,Royal Metal Armor,"Clocktower, or Campus Grounds (Chapter 10)",Kaiserfish Mail,Kaiser: Aqua Hero,Iron Plate/Bronze Plate/Baked Plate/Armored Crab,Masou/Trout/Chinook/King Tuna/Queen Tuna/Sharkgill,
164,Royal Metal Armor,"Clocktower, or Campus Grounds (Chapter 10)",Gold Mail,Gold Bullion/Golden Soup,Silver Cuirass/Estevan Guard,Fortune Ring/Divine Shield,
165,Standard Uniform - M,"Student Store (Chapter 1, Week 2)",Male Uniform,Nicro Cloth,Zettel/Tuft/Knot/Worn Armor,Gear/Red Petal,
166,Standard Uniform - M,"Student Store (Chapter 1, Week 2)",Altered Uniform M,Male Uniform,Woodchip/Worn Weapon,Wild Meat/Rotten Meat,Eternal Turnkey
167,Oldschool Uniform,Campus Grounds (Chapter 4),Japanesque Uniform,Male Uniform/Altered Uniform M,Black Liquid/Black Powder/Black Steel/Black Dirt/Black Feather,Pleather Cloth/Bonita/Endless Seaweed,
168,Oldschool Uniform,Campus Grounds (Chapter 4),White Japanesque ,Japanesque Uniform,White Feather/Long Ice Cream/Meringue Whip/White Steel,Glowing Petal/Scale Chips,
169,Oldschool Uniform,Campus Grounds (Chapter 4),Gangster,White Japanesque,Bone Necklace/Cait Sith's Collar,Knot/Meringue Whip,Brilliant Stone/Pentagle
170,Royal Clothes,Student Store (Chapter 11),King Style,King Tuna/Queen Tuna/Crown Pot/Crown Breastplate/Star Queen,White Japanesque,Silky Cloth/Formell Fabric/Misty Curtain,Silver Thread/Clear Fiber
171,Standard Uniform - F,"Student Store (Chapter 1, Week 2)",Female Uniform,Nicro Cloth,Zettel/Tuft/Knot/Angel's Slip,Gear/Red Petal,
172,Standard Uniform - F,"Student Store (Chapter 1, Week 2)",Altered Uniform F,Female Uniform,Tangerine/Sunrise Orange/Bitter Grape/Night-in-grape,Heal Jar/Green Soup,Eternal Turnkey
173,Standard Uniform - F,"Student Store (Chapter 1, Week 2)",Long Uniform,Altered Uniform F,Pleather Cloth,Huffin/Gash Twig/Endless Seaweed/Long Ice Cream,Asclepius
174,Retro Uniform,Campus Grounds (Chapter 4),Bad Girl,Long Uniform/Altered Uniform F,Knot/Dietary Fiber/Silver Thread/Clear Fiber,Thorn Gauntlet/Lando/X-Lando/Sweet Lando/King Grab,
175,Retro Uniform,Campus Grounds (Chapter 4),Maiden,Crimson Feather/Rainbow Feather/Angel Wing,Heaven's Silk/Feathery Flow,Aurora Curtain,Formell Fabric
176,Elegant Clothes,"Wind's Corridor - Abyss, or Student Store (Chapter 8)",Heaven's Silk,Angel's Slip/Devil's Panties,Angel Wing/Archangel Wings/Fallen Wing,Misty Curtain,Silver Thread
177,Cat Suit,"Dragon's Grave - Heaven's Road, or Infirmary (Chapter 6)",Black Cat,Kitty Ears,Angel's Slip/Devil's Panties,Black Liquid/Black Powder/Black Dirt,Pretty Ribbon/Cait Sith's Collar/Kittynip
178,Cat Suit,"Dragon's Grave - Heaven's Road, or Infirmary (Chapter 6)",Kitty Ear Maid,Heaven's Silk/Long Uniform/Bad Girl,Kitty Ears/Black Cat,Cait Sith's Collar/Kittynip,Silky Cloth/Formell Fabric
179,Robe,Resource Center Dungeon,Arabesque Robe,Spinacherb/Purplinacherb/Gash Twig/Kittynip/Dunkelhite,Nicro Cloth/Pleather Cloth/Silky Cloth,Puniball/Strom Shell,Clearwater/Brown Groundwater/Goat Milk/Marine Water
180,Robe,Resource Center Dungeon,Raven Robe,Black Liquid/Black Powder/Black Feather,Nicro Cloth/Pleather Cloth/Silky Cloth,Taun/Tercia Pollen,Clearwater/Brown Groundwater/Goat Milk/Marine Water
181,Robe,Resource Center Dungeon,La Matador,Crimson Feather/Night-in-grape/Cyprus Copper/Red Petal,Nicro Cloth/Pleather Cloth/Silky Cloth,Feather Charm,Lando/X-Lando/Sweet Lando/Red Soup
182,Robe,Resource Center Dungeon,Chocolate Robe,Raven Robe,99% Chaos Choco,Candy Eye/Vanilla Syrup/Magical Clay/Sweetsland,Bomb Ice/Bobomb Ice/Grape Sherbet/Muscat Sorbet
183,Magic Garments,Campus Grounds (Chapter 8),Dragonscale Garb,Dragon Scale,Silky Cloth/Formell Fabric/Misty Curtain,Dragon Bone/Dragon Tongue/Carabine Harp,Symbol of Uroborus
184,Magic Garments,Campus Grounds (Chapter 8),Aurora Curtain,Rainbow Feather/Dunkelhite,Misty Curtain,Dragonscale Garb,Clearwater/Brown Groundwater/Goat Milk/Marine Water
185,Magic Garments,Campus Grounds (Chapter 8),Fishscale Garb,Blowfish-X/Tiger Blowfish/Chinook/Trout/Masou,Silky Cloth/Formell Fabric/Misty Curtain,Raven Robe/Arabesque Robe/La Matador/Chocolate Robe,Clearwater/Brown Groundwater/Goat Milk/Marine Water
186,Heavy Armor,Automatically obtain,Estevan Guard,Bronze Plate/Bone Breastplate,Dragon Scale/Dragon Tongue/Carabine Harp,Elemia Silver/Raw Komet Ore,Stone of Alectoria/Flame Ring/Ice Ring/Thunder Ring
187,Heavy Armor,Automatically obtain,Bone Breastplate,Iron Plate,Monster Bone,Chrome Crystal/Soul of Darkness/Preservative,Wild Meat/Rotten Meat/Golden Meat
188,Holy Armor,Resource Center - Unorganized Zone,Crown Breastplate,Estevan Guard/Bone Breastplate/Silver Cuirass/Gold Mai,Altena Ingot,King Tuna/Queen Tuna/Crown Pot/King Style/Star Queen,
189,Hardened Cloak,"Complete Job no. 061, or Student Store (Chapter 6)",Panzer Cloak,Iron Plate/Bronze Plate,Nicro Cloth/Pleather Cloth/Silky Cloth/Formell Fabric,Chrome Crystal,
190,Hardened Cloak,"Complete Job no. 061, or Student Store (Chapter 6)",Imperial Cloth,Dragonscale Garb/Aurora Curtain/Fishscale Garb,Symbol of Uroborus/Velvet Horn,Liquid Metal,
191,Women's Armor,Automatically obtain,Feathery Flow,Angel Wing/Fallen Wing,Blue Steel/White Steel,Divine Shield/Shield of Ajax,
192,Women's Armor,Automatically obtain,Star Queen,Brilliant Stone/Pentagle/Aroma Material,Feathery Flow,Queen Tuna,Gloves of Artorius/Thorn Gauntlet/Scale Gauntlet
193,Women's Armor,Automatically obtain,Angel Cloth,Archangel Wings,Angel's Slip/Devil's Panties,Feathery Flow,Winged Boots/Flying Fish Boots
194,Legendary Robe,"God's Scar, or Student Store (Chapter 10)",Alchemy Robe,Formell Fabric,Brilliant Stone/Pentagle/Aroma Material/Chrome Crystal,Holy Crest Paper,Raw Komet Ore/Super Komet
195,Legendary Robe,"God's Scar, or Student Store (Chapter 10)",Saint's Garb,Altena Ingot,Imperial Cloth/Alchemy Robe,Aroma Material,
196,Sexy Outfit,"Dragon's Grave - Cave of Origin, or Infirmary (Chapter 11)",Lucifer's Leotard,Devil's Panties,Heaven's Silk/Black Cat,Pentagle,Fallen Wing
197,Dark Battlespirit,Resource Center - Unorganized Zone,Bleak Veil,Gold Mail,Fallen Wing,Stellar Globe,Symbol of Uroborus
198,Man's Mantle,Resource Center - Unorganized Zone,Gallant Mantle,Gangster,Meginjorz,Altena Ingot,Tera Flame
199,Grand Robe,Resource Center - Unorganized Zone,Grand Alchemist,Saint's Garb,Shining Grail,Philosopher's Hand,Glasses of Death
200,Sensitive Hair,Resource Center - Unorganized Zone,Biohair Wig,Dragon Tongue,Uni God,Brilliant Stone,Aurora Curtain
201,Beast Hide,Resource Center - Unorganized Zone,Holy Beast Hide,Angel Cloth,Shiny Mustache,Bunny Ears,Super Nectar
202,Master's Outfit,Resource Center - Unorganized Zone,Knight's Waistcoat,Maiden,Feathery Flow,Symbol of Uroborus,Winged Boots
203,Incanter's Garb,Resource Center - Unorganized Zone,Robe of Life,Saint's Garb,Trauer Tarot,Elixir,Formel Fabric
204,Liquid Armor,Resource Center - Unorganized Zone,Rejuvenator Skin,Elixir,Blood Clay,Fires of Hell/Diamon Dust/Electric Elect,Clearwater/Brown Groundwater/Goat Milk/Marine Water
205,Magic Ring,Automatically obtain,Flame Ring,Canone Rock/Canone Crystal/Auto Igniter/Plosion/Flame Ring/Fires of Hell,Chrome Crystal/Soul of Darkness/Gravity Stone/Pendelook,Polish Powder/Flour/Salt/Black Powder/Shiny Powder,Black Steel/Red Steel/Blue Steel/White Steel/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Mist Core/Soul Core/Force Core/Eternal Core
206,Magic Ring,Automatically obtain,Ice Ring,Glacier Stone/Glacier Crystal/Coolster/Long Ice Cream/Ice Ring/Diamond Dust,Chrome Crystal/Soul of Darkness/Gravity Stone/Pendelook,Polish Powder/Flour/Salt/Black Powder/Shiny Powder,Black Steel/Red Steel/Blue Steel/White Steel/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Mist Core/Soul Core/Force Core/Eternal Core 
207,Magic Ring,Automatically obtain,Thunder Ring,Thunder Stone/Thunder Crystal/Voidspark Pipe/Lightning Rod/Thunder Ring/Electric Elect,Chrome Crystal/Soul of Darkness/Gravity Stone/Pendelook,Polish Powder/Flour/Salt/Black Powder/Shiny Powder,Black Steel/Red Steel/Blue Steel/White Steel/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Mist Core/Soul Core/Force Core/Eternal Core
208,Pot of Flames,Campus Grounds (Chapter 10),Fires of Hell,Auto Igniter/Aroma Material,Fortune Ring/Flame Ring/Tera Flame/Stone of Alectoria,Altena Ingot/Blood Clay/White Steel/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core,
209,Freezing Device,Campus Grounds (Chapter 10),Diamond Dust,Coolster/Aroma Material,Brilliant Stone/Ice Ring/Bobomb Ice/Stone of Alectoria,Altena Ingot/Blood Clay/White Steel/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core,
210,Electric Machine,Campus Grounds (Chapter 10),Electric Elect,Voidspark Pipe/Aroma Material,Gearbox/Thunder Ring/Thunder Rod/Stone of Alectoria,Altena Ingot/Blood Clay/White Steel/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core,
211,Gloves,Campus Grounds (Chapter 2),Puppy Paw Gloves,Tuft/Knot/Shiny Moustache/Puppy Paw Flan,Nicro Cloth/Pleather Cloth/Silky Cloth/Formell Fabric,Wild Meat/Rotten Meat/Golden Meat/Bacon/Smoked Fish/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Nature Core/Mist Core/Soul Core/Force Core/Eternal Core,
212,Gloves,Campus Grounds (Chapter 2),Thorn Gauntlet,Cyprus Copper,Pleather Cloth/Nicro Cloth/Puppy Paw Gloves,Poison Shroom/Rotten Meat/Blowfish-X/Tiger Blowfish/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core,
213,Gloves,Campus Grounds (Chapter 2),Gloves of Artorius,Legien Steel,Pleather Cloth/Nicro Cloth/Puppy Paw Gloves,Worn Weapon/Worn Armor/Thorn Gauntlet/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core,
214,Gloves,Campus Grounds (Chapter 2),Scale Gauntlet,Dragon Scale/Scale Chips,Gloves of Artorius/Thorn Gauntlet,Masou/Trout/Chinook/Joker Fish,Blue Steel/Black Steel/Red Steel/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
215,A Small Wand,Resource Center Dungeon,Asclepius,Woodchip/Giant Woodchip/Wooden Club,Beast Fang,Gash Twig/Taun/Dunkelhite/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core,
216,Stone of Sealing,"Wind's Corridor - Abyss, or Infirmary (Chapter 8)",Stone of Alectoria,Canone Crystal/Glacier Crystal/Thunder Crystal/Aroma Material,Blue Steel/White Steel,Polish Powder/Black Powder/Shiny Powder,Nectar/Super Nectar/Youthful Apple/Eternal Peach/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
217,Alchemy Symbol,Student Store (Chapter 8),Symbol of Uroborus,Dragon Bone/Dragon Scale/Dragon Tongue,Aslepius/Stone of Alectoria,Flame Ring/Thunder Ring/Ice Ring,Giant's Ring/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
218,Doll,The Heights,Straw Doll,Nicro Cloth/Dietary Fiber,Burdock Straight/Burdock Curve/Worn Weapon,Tuft/Knot/Puni Gummi,Ragged Collar/Leather Collar/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Mist Core/Soul Core/Force Core/Eternal Core
219,Doll,The Heights,Vasilissa's Doll,Brownie Mask,Straw Doll/Doll's Claw,Nicro Cloth/Pleather Cloth,Monster Cookie/Puni Gummi/Puppy Paw Flan/Soul of Darkness/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Mist Core/Soul Core/Force Core/Eternal Core
220,Wing of an Angel,Resource Center Dungeon,Angel Wing,Angel's Slip,Crimson Feather/White Feather,Tuft/Knot/Shiny Moustache/Huffin/Meringue Whip,Raven Robe/Arabesque Robe/La Matador/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
221,Wing of an Angel,Resource Center Dungeon,Fallen Wing,Devil's Panties,Black Feather,Angel Wing/Crimson Feather/White Feather,Soul of Darkness/Black Liquid/99% Chaos Choco/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
222,Wing of an Angel,Resource Center Dungeon,Archangel Wings,Angel Wing,Rainbow Feather,Winged Boots,Altena Ingot/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
223,Power Girdle,"Clocktower, or Infirmary (Chapter 10)",Megingjorz,Formell Fabric,Cait Sith's Collar/Pretty Ribbon/Brisingamen,Fortune Ring/Velvet Horn,Silver Thread/Clear Fiber/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
224,Green Tablet,Automatically obtain,Jade Tablet,White Steel/Altena Ingot,Flame Ring/Ice Ring/Thunder Ring/Fires of Hell/Diamond Dust/Electric Elect,Trauer Card/Flonne's Charm/Type Solomon,Aroma Material/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
225,Hard Shield,"Old Schoolhouse - Closed Area, or Campus Grounds (Chapter 9)",Shield of Ajax,Divine Shield,Blue Steel/White Steel/Altena Ingot,Estevan Guard/Bone Breastplate/Crown Breastplate,Polish Powder/Shiny Powder/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
226,Hard Shield,"Old Schoolhouse - Closed Area, or Campus Grounds (Chapter 9)",Mirror of Gargol,Misty Curtain,Blue Steel/White Steel/Altena Ingot,Dragonscale Garb/Aurora Curtain/Fishscale Garb,Polish Powder/Shiny Powder/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
227,Fishbot,Cafeteria (Chapter 8),Kaiser: Aqua Hero,Sharkgill,Masou/Trout/Chinook/King Tuna/Queen Tuna,Alloy Claw/Super Alloy Claw,Straw Doll/Vasilissa's Doll/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
228,The Gem of Alchemy,Automatically obtain,Aroma Material,Brilliant Stone,Pentagle,Fires of Hell/Diamond Dust/Electric Elect,Tercia Pollen/Dunkelhite/Glowing Petal/Shiny Powder/Youthful Apple/Eternal Peach/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
229,Wallet,"Millenium Tree, or Infirmary (Chapter 6)",Toad Mouth,Silky Cloth/Formell Fabric,Legien Steel/Cyprus Copper/Preuve Lead,Soul of Darkness/Pendelook,Puniball/Puni Gummi/Puppy Paw Flan/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
230,Handprint,"Clocktower, or Infirmary (Chapter 10)",Philosopher's Hand,Puppy Paw Gloves/Thorn Gauntlet/Gloves of Artorius/Scale Gauntlet,Liquid Metal/Magical Clay/Blood Clay/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core,,
231,Glasses,Resource Center Dungeon/Vendor,Glasses of Death,Chrome Crystal/Gravity Stone,Black Liquid/Black Powder,Carbon Boulder/Black Steel,Blowfish-X/Poison Shroom/Tiger Blowfish/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
232,Head Gear,Infirmary (Chapter 4),Feather Charm,Angel Wing/Rainbow Feather/Crimson Feather/White Feather/Black Feather,Dietary Fiber/Silver Thread/Clear Fiber,Black Steel/Red Steel/Blue Steel/White Steel/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core,
233,Head Gear,Infirmary (Chapter 4),Kitty Ears,Beast Fang/Tuft/Knot/Shiny Moustache,Silky Cloth/Formell Fabric,Apollo's Diapason/Galilean Scope/Alchemic Cymbal/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core,
234,Head Gear,Infirmary (Chapter 4),Bunny Ears,Kitty Ears,Carrotato,Shiny Powder/Super Nectar/Shining Grail/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core,
235,Fancy Hat,"Complete Job no. 043, or Campus Grounds (Chapter 4)",Tangerine Hat,Tangerine/Sunrise Orange/Mandarin Orange/Orange Bomb/Big Orange Bomb,Nicro Cloth/Pleather Cloth/Silky Cloth/Formell Fabric,Dietary Fiber/Silver Thread/Clear Fiber/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core,
236,Fancy Hat,"Complete Job no. 043, or Campus Grounds (Chapter 4)",Lando Cap,Lando/X-Lando/Sweet Lando/Lando Bomb/Big Lando Bomb,Silky Cloth/Formell Fabric,Dietary Fiber/Silver Thread/Clear Fiber/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core,
237,Fancy Hat,"Complete Job no. 043, or Campus Grounds (Chapter 4)",Yubana Cover,Yubana Fruit/Dried Yubana/Yubana Flower,Brownie Mask/Vasilissa's Doll,Silver Thread/Clear Fiber/Shinke Onion/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core,
238,Fancy Hat,"Complete Job no. 043, or Campus Grounds (Chapter 4)",Afrotic Wig,Flame/Tera Flame,Knot,Shiny Moustache,Nicro Cloth/Pleather Cloth/Silky Cloth/Formell Fabric/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
239,Boots,"Mana Ruins - Interior Heights, or Infirmary (Chapter 7)",Winged Boots,Angel Wing/Archangel Wing/Fallen Wing,Pleather Cloth/Silky Cloth/Formell Fabric,Dietary Fiber/Silver Thread/Clear Fiber/Shinke Onion,Alchemic Bag/Angel's Bag/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
240,Boots,"Mana Ruins - Interior Heights, or Infirmary (Chapter 7)",Flying Fish Boots,Chinook/King Tuna/Queen Tuna/Sharkgill/Sharkgill Sword,Pleather Cloth/Silky Cloth/Formell Fabric,Silver Thread/Clear Fiber/Shinke Onion,Scale Gauntlet/Dragonscale Garb/Fishscale Garb/Scale Chips/Earth Core/Wind Core/Aqua Core/Flame Core/Metal Core/Nature Core/Soul Core/Mist Core/Force Core/Eternal Core
241,Mystery Medicine,Complete Nikki's 2nd Character Quest,Loveless Potion,Puniball/Puni Gummi/Soul of Darkness,Heal Jar/Cure Jar/120% Fruit/Veggielicious/Veggie Purple,Tiger Blowfish/Blowfish-X/Poison Shroom,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Black Liquid/Preservative
242,Synthesizer's Text,Complete Synthesis VII Equipment Assignment,Flash of Galileo,Rusty Flask,Polish Powder,,
